,cad_recursive_linear_residue,aud_recursive_linear_residue,gbp_recursive_linear_residue
2012-11-09,-0.0012836823143046437,-0.0016738158807032156,-0.005450482498815659
2012-11-12,0.001818815413307367,0.003997091544801141,-0.0009425605930085196
2012-11-13,-0.0022846340508692,0.0007286641771291191,-0.0002697018757659742
2012-11-14,-0.001787862695479635,-0.005612473795801121,-0.0018112085101802723
2012-11-15,0.002924678541100785,-0.004191952061328672,0.001771600743683708
2012-11-16,-0.0001826661992680996,0.0007348970901823373,0.001020967229048214
2012-11-19,0.004911446457803727,0.007093454246982959,0.0016699396551063967
2012-11-20,-0.0004807268974310749,-0.002153813324704103,0.0011440340033915084
2012-11-21,0.0005158349847655612,-0.0018693487930332934,0.0015986130862836996
2012-11-22,-0.0008795304919491755,0.0020808392542151135,-0.0009252693503914467
2012-11-23,0.00429638041362804,0.006867870969708081,0.005793451740172544
2012-11-26,-0.0004790442681722347,0.00043991925555941606,-0.00018535458391045996
2012-11-27,-0.0010758310858855183,-0.001759606164635873,-0.00024179369388386247
2012-11-28,0.002500793462274379,0.0029254163505787866,-0.00042083142736845224
2012-11-29,-0.00028010930128989794,-0.00386376639708118,0.0017695018477257077
2012-11-30,-0.001969135792254788,-0.0006134247386887105,-0.001735457394668852
2012-12-03,-0.0007782283518545997,-0.0006138753417445925,0.0049859870594361425
2012-12-04,0.002403003937389846,0.004939647316528474,0.0005263193413870539
2012-12-05,0.001108986408796445,-0.0014714325664576134,-0.00020117963072833765
2012-12-06,0.0003150107906921588,0.0029226775476403188,-0.0027852927967696624
2012-12-07,0.002987265194722352,0.0002483320302778657,-0.0005837140561645955
2012-12-10,0.0021897507903566264,5.761971922020429e-05,0.0023352495199327355
2012-12-11,0.00011617823626159705,0.0038642478407828734,0.0024781320069277887
2012-12-12,0.001692678837994271,0.002618926436542891,0.002092336387887482
2012-12-13,-0.0003763405946111632,-0.0025036869981024824,-0.002296394580031177
2012-12-14,-0.0006721351309203012,0.0036605438783829294,0.0039857985847302786
2012-12-17,0.002183548786321902,-0.0012682636078904744,0.00179234232639375
2012-12-18,-0.0022470065657075877,-0.001554748439640737,0.0029637922115014295
2012-12-19,-0.003141694314077329,-0.005081333348891924,-0.00033884026700296556
2012-12-20,0.0012034421162365856,0.0002484230016154953,0.0020461189890524046
2012-12-21,-0.005627981675866198,-0.00827616097197151,-0.006592486892902751
2012-12-24,0.00031548343660555843,-0.003411260228686668,-0.002745062627282902
2012-12-25,0.0005139058680233846,-3.891003615180862e-05,0.000294019529175287
2012-12-26,-0.0018698949843531738,0.001890093588803132,0.000869848161747803
2012-12-27,-0.0008777456928333721,-3.874260318631647e-05,-0.002316380213085328
2012-12-28,-0.0017754537083314798,-0.00032792245423012185,0.0034337759267172377
2012-12-31,0.004891003442564069,0.002080059855779323,0.006252593474788399
2013-01-01,-0.0011737495817874574,0.00015382444294632057,-0.0005123188925013559
2013-01-02,0.008622522821583729,0.010488835409738937,0.00044971058787597704
2013-01-03,-0.0029413197986578356,-0.003566609331258812,-0.009090849965826906
2013-01-04,0.0005113080654496826,0.0013943906621002988,-0.001986892964189675
2013-01-07,0.0013001747118345267,0.002249871466962391,0.0030680267164820032
2013-01-08,-0.0006728834251966424,0.00015282607907693944,-0.003759844606930904
2013-01-09,-0.0009696128676933873,0.0010091851159815517,-0.0018641003306234815
2013-01-10,0.004550474694523502,0.0080152213925342,0.009145976766059745
2013-01-11,-0.0015567845674437344,-0.0059046370951977515,-0.002463326207381456
2013-01-14,0.0010018060916290822,0.003090509921961455,-0.0032100503491511454
2013-01-15,-0.0004744508863068241,-0.00013166667165348013,-0.0006282158133356968
2013-01-16,-0.0016570757128099923,0.000719965393242877,-0.0035215833159866323
2013-01-17,0.00021471492758665478,-0.002404735914544461,-0.0006854744964816495
2013-01-18,-0.006013409908437425,-0.0033618365001981277,-0.0076230903074282
2013-01-21,-0.0011731585399599755,0.000723430368251959,-0.002196403752601869
2013-01-22,0.0010099129620601912,0.004705922923452828,0.0007212140337120967
2013-01-23,-0.007349328452161914,-0.000983997722619834,0.00042779829894923853
2013-01-24,-0.003385511997011929,-0.00984439396869727,-0.0033584126574872247
2013-01-25,-0.003095367082327021,-0.002529208070602364,0.0006892007580830536
2013-01-28,-0.00048543877414039776,-0.0005181407803239325,-0.0065533211842038214
2013-01-29,0.00543653368681492,0.0055140062044218684,0.004613027941462648
2013-01-30,-0.0005831067011917019,-0.00539876676598146,0.0023308435075107227
2013-01-31,0.004214622261296531,0.0007293080810854818,0.0035251364470859086
2013-02-01,0.0007153559959218933,-0.0016704913099226202,-0.01044689359387305
2013-02-04,-0.002277054635106408,0.00303195628471945,0.004677391406127055
2013-02-05,0.0033081787410370574,-0.004551568390865396,-0.00650410580291334
2013-02-06,-8.200292789190404e-05,-0.006702425338499048,0.000475481079904136
2013-02-07,-0.0021752107141384098,-0.003631346700883579,0.0035036104406683624
2013-02-08,-0.004182032170493038,0.003649682219484614,0.0053465429655961474
2013-02-11,-0.0027920002828817595,-0.006066336236042831,-0.00914029687012247
2013-02-12,0.002626687485689285,0.004823933883328241,0.0006265280999292579
2013-02-13,0.00041835565223907376,0.006441854984394967,-0.007695644093894434
2013-02-14,0.0009187707471312968,-0.0011001228124118707,-0.002764765940531387
2013-02-15,-0.005401969457987949,-0.005168873014322483,0.0017197377596198439
2013-02-18,-0.004218031151029996,0.00015465528283036857,-0.0034050475227669235
2013-02-19,-0.0005889967230080886,0.004897431702478991,-0.0024068766755739528
2013-02-20,-0.005356349890240359,-0.009645541991756783,-0.012304741972073223
2013-02-21,-0.0018141346744181654,-0.0010154987682310431,0.0017983083166996112
2013-02-22,-0.0027362852202592464,0.007351598081773861,-0.005959413190479742
2013-02-25,-0.0046917093687428545,-0.005968251367119743,0.0002689561978513927
2013-02-26,0.0001201655054575356,-0.0027734457729862907,-0.002441111434823986
2013-02-27,0.0030910120515923144,0.0005463066272500972,0.0023977621123893035
2013-02-28,-0.007477732342409827,-0.001800662394094493,0.000256607682474568
2013-03-01,0.0037208809795669616,-0.001117813857197168,-0.008218639354714655
2013-03-04,-0.0004959775241323327,-0.0006286884600788054,0.005453259456378649
2013-03-05,0.00042840039291379786,0.0061200221724278855,0.0006903191127228928
2013-03-06,-0.004923777814167082,-0.0023824771432380803,-0.007190245585805809
2013-03-07,0.002491272064545528,0.00347209062349565,4.4467432537718986e-05
2013-03-08,0.000737903959046018,-0.003063724992131268,-0.0058683649395219395
2013-03-11,0.002791195967695139,0.004444232982259247,-0.00040256297472713014
2013-03-12,0.00022270329046323816,0.004231370015006135,-0.0007142535539402873
2013-03-13,-0.0018303060448124108,-0.0024639605131975464,0.0014362603414544775
2013-03-14,0.00524431459768283,0.008374078057004708,0.010687758222913433
2013-03-15,0.0027736421456472198,0.0024622762908172984,0.0017633873930536028
2013-03-18,-0.002738534058312734,-0.0006151014632303168,-0.00046402960048238286
2013-03-19,-0.004490188452562296,-0.0030234533902246483,-0.0004460136651042779
2013-03-20,0.0008386564196780149,0.0009251314609363039,0.00015213975491003132
2013-03-21,0.0008379827636688585,0.0059176681905609135,0.004888700433082309
2013-03-22,0.001861061325291319,0.00044068810160991477,0.0036559039484972333
2013-03-25,0.0018576690589028647,0.002161876832353844,-0.0036755426258063013
2013-03-26,0.005212900115519406,0.0018713761230874145,-0.0008653640554796685
2013-03-27,1.7554043667243112e-05,-0.0038603937977806455,-0.0018113468841173693
2013-03-28,-8.405648327075211e-05,-0.0031070916250464393,0.004287670543651275
2013-03-29,-0.0012025782886888982,0.0008257426566511458,0.00025771805108987976
2013-04-01,0.0005261234489226387,0.0004414600463587392,0.002094755520944985
